Year,Name,Performance,Seed,Snake,ESPN BPI,ESPN PVA,AP PRE,AP POST,COACH PRE,COACH POST,Win Pct,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,3FG,3PG,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,FT,FTA,FT%,REB,RPG,OPP REB,OPP RPG,REB MAR,AST,APG,TO,TOPG,AST/TO Ratio,Opp TO,TO Diff,BLKS,BKPG,ST,STPG,Fouls,PFPG,DQ
2015,Belmont,2,15,60,54.5,1.4,0,0,0,0,68.8,2383,74.5,2251,70.3,4.1,831,1746,47.6,828,1832,45.2,321,10,841,38.16884661,675,232,34.4,400,579,69.1,1064,33.3,1045,32.7,0.6,492,15.4,439,13.7,1.12,411,-0.9,64,2,205,6.4,527,16.5,1
2015,Boise St.,1,11,45,71,7.1,0,0,0,0,75.8,2335,70.8,1989,60.3,10.5,809,1768,45.8,710,1712,41.5,291,8.8,738,39.43089431,611,188,30.8,426,581,73.3,1086,32.9,1005,30.5,2.5,399,12.1,339,10.3,1.18,419,2.4,78,2.4,201,6.1,564,17.1,10
2015,Buffalo,2,12,48,70.2,6.8,0,0,0,0,71.9,2400,75,2185,68.3,6.7,817,1878,43.5,773,1831,42.2,193,6,567,34.03880071,697,230,33,573,794,72.2,1230,38.4,1132,35.4,3.1,421,13.2,361,11.3,1.17,436,2.3,129,4,244,7.6,589,18.4,14
2015,Butler,3,6,23,79.5,10.7,0,142,0,79,68.8,2226,69.6,1958,61.2,8.4,777,1771,43.9,701,1684,41.6,184,5.8,514,35.79766537,571,175,30.6,488,718,68,1175,36.7,968,30.3,6.5,368,11.5,364,11.4,1.01,403,1.2,94,2.9,204,6.4,564,17.6,10
2015,BYU,1,11,44,76.1,9.2,0,0,0,0,71.4,2931,83.7,2561,73.2,10.6,976,2090,46.7,894,2052,43.6,300,8.6,763,39.31847969,666,218,32.7,679,886,76.6,1349,38.5,1185,33.9,4.7,594,17,417,11.9,1.42,456,1.1,103,2.9,257,7.3,721,20.6,13
2015,Cincinnati,3,8,29,72.6,7.7,0,0,0,0,68.8,1996,62.4,1769,55.3,7.1,716,1581,45.3,654,1678,39,161,5,483,33.33333333,560,184,32.9,403,598,67.4,1095,34.2,936,29.3,5,380,11.9,409,12.8,0.93,390,-0.6,174,5.4,210,6.6,469,14.7,4
2015,Coastal Caro.,2,16,64,57,2.2,0,0,0,0,72.7,2366,71.7,2035,61.7,10,808,1841,43.9,691,1766,39.1,221,6.7,621,35.58776167,718,231,32.2,529,769,68.8,1311,39.7,1027,31.1,8.6,376,11.4,393,11.9,0.96,394,0,110,3.3,232,7,545,16.5,12
2015,Davidson,2,10,38,74.4,8.5,0,0,0,0,77.4,2477,79.9,2138,69,10.9,877,1861,47.1,779,1769,44,337,10.9,849,39.69375736,582,175,30.1,386,543,71.1,1114,35.9,1086,35,0.9,534,17.2,297,9.6,1.8,365,2.2,89,2.9,170,5.5,586,18.9,13
2015,Dayton,3,11,46,76.5,9.4,0,0,0,0,75.8,2251,68.2,2010,60.9,7.3,750,1620,46.3,731,1738,42.1,213,6.5,605,35.20661157,571,181,31.7,538,789,68.2,1041,31.5,1077,32.6,-1.1,456,13.8,379,11.5,1.2,449,2.1,84,2.5,230,7,525,15.9,10
2015,Duke,8,1,3,89.5,16.9,1415,1406,715,675,87.9,2660,80.6,2164,65.6,15,944,1880,50.2,829,1931,42.9,250,7.6,648,38.58024691,534,171,32,522,755,69.1,1232,37.3,1027,31.1,6.2,512,15.5,371,11.2,1.38,415,1.3,124,3.8,237,7.2,528,16,7
