Year,Name,Performance,Seed,Snake,RPI,SOS,LRPI,OFFQ,DEFQ,ASM,ESPN BPI,ESPN PVA,AP PRE,AP POST,COACH PRE,COACH POST,Win Pct,PPG,OPP PPG,SCR MAR,FG%,OPP FG%,3PG,3FG%,Opp 3FG%,FT%,RPG,OPP RPG,REB MAR,APG,TOPG,AST/TO Ratio,TO Diff,BKPG,STPG,PFPG,DQ
2012,Kentucky,8,1,1,0.6597,41,2,10.8,9.3,20.1,92.4,20.1,1501,1621,721,774,94.1,76.7,59,17.7,48.3,36.8,5.7,37.1,32.1,72,39.1,31.9,7.2,13.2,11.4,1.17,0.6,8.8,6.3,14.6,8
2012,Lamar,1,16,65,0.534,219,131,4.4,0.7,5.1,61.1,3.6,0,0,0,0,67.6,73.9,65.4,8.5,43.5,41.9,4.4,34.84680851,34.3,72.1,39.6,34.4,5.2,13,12.1,1.07,2.3,4.5,8.2,17.3,9
2012,Lehigh,3,15,60,0.5431,313,127,7.5,-0.4,7.1,63.7,4.5,0,0,0,0,78.8,76.2,65.1,11.1,44.9,41.3,7.4,35.7,32.7,77.6,35.9,33.8,2.1,13.3,11.4,1.17,3.1,3,7.8,17.8,6
2012,LIU Brooklyn,2,16,63,0.5504,267,109,12.9,-10,3,53.4,1.1,0,0,0,0,75.8,81.9,77.3,4.5,47.5,44.5,6.6,36.8,32.8,73.1,38.6,36.1,2.5,14.8,16.2,0.92,-2.3,3.3,6.1,15.8,15
2012,Long Beach St.,2,12,51,0.5837,127,56,6,3.6,9.6,73.3,8.1,0,0,2,0,75.8,74,63.6,10.4,46.9,41.9,6.6,36,33.6,67.1,35.6,32.7,3,14,12.9,1.09,2.2,2.7,7.2,15.4,9
2012,Louisville,6,4,16,0.6182,10,9,3.1,8.2,11.4,82.5,12.5,1055,558,514,245,74.3,68.8,61.2,7.7,42.5,37.9,5.9,31.1,30.8,68.6,38.2,36.3,1.9,13.8,14.7,0.94,1.2,4.9,9.1,17.9,14
2012,Loyola Maryland,2,15,59,0.5535,230,105,-1.4,4,2.6,59.9,3.2,0,0,0,0,75,67.6,63.8,3.8,42.8,42.8,5,34,36.1,71.8,35.3,31.6,3.7,12,13.5,0.89,0.8,4.3,7.8,18.9,14
2012,Marquette,4,3,10,0.6308,20,12,10.8,1.7,12.5,80.7,11.5,335,912,145,452,78.1,75.9,66.2,9.7,45.9,40.6,5.7,33.7,32.1,72.1,35.8,36.1,-0.3,16.8,13.3,1.27,3.4,3.5,8.8,17.9,5
2012,Memphis,2,8,31,0.6147,23,19,10.2,4.3,14.4,83.6,13.1,997,59,482,40,76.5,75.3,63.1,12.1,49.4,38.4,5.4,36.9,31,72,34.4,32.9,1.5,14.8,12.7,1.16,1.2,5.7,7.9,19.1,12
2012,Michigan,2,4,13,0.6177,22,16,1.9,6.3,8.2,75.9,9.2,401,808,187,319,72.7,66.5,61.4,5.2,45.6,42.6,8.2,35.2,34.4,72,30.8,31.8,-1,12.7,10.9,1.17,1.7,2.2,5,15.6,10
2012,Michigan St.,4,1,4,0.6525,1,3,7.2,9.8,17,87.4,15.6,128,1386,73,660,79.4,72.1,59.1,13,47.6,37.8,5.5,36.5,29.2,69.8,38,30,8,15.3,13,1.18,-0.1,4.4,7.3,17.6,6
2012,Mississippi Val.,1,16,67,0.5089,320,158,2.5,-6.4,-3.9,40.3,-3.2,0,0,0,0,63.6,68.9,69.3,-0.4,40.2,43.7,7.5,32.8,38.8,65,37.1,37,0.1,13.3,14.5,0.92,1.8,2.4,8.8,20.4,23
2012,Missouri,2,2,8,0.6232,107,8,13.7,2.3,15.9,85.7,14.4,139,1459,110,715,88.2,80.3,65.7,14.6,50.4,44.1,8.2,39.5,36.2,76.6,32.2,31.5,0.7,16.2,10.3,1.57,4.1,2.8,8.2,14.1,11
2012,Montana,2,13,55,0.5548,225,138,-0.3,7.7,7.4,63.8,4.5,0,0,0,0,80.6,70.6,61.7,9,46.5,40.3,6.2,37.3,32.4,71.7,33,33.4,-0.4,13.8,12.6,1.09,2.5,3.6,7.2,18.4,10
2012,Murray St.,3,6,23,0.6068,179,28,5.3,5.2,10.6,73.5,8.2,0,871,0,502,96.8,74.2,61.2,13,47.7,42.1,7.4,40.6,29.5,73,33.3,31.5,1.7,13,14,0.93,2.5,4.2,8.4,18.2,12
2012,New Mexico,3,5,20,0.5993,103,40,5.8,7.8,13.6,79.1,10.7,33,318,22,125,81.8,73.2,59.1,14.1,46.3,38,7.6,38.5,30.7,70.7,38,31.3,6.7,16.4,13.3,1.23,1,3.3,6.9,17.6,6
2012,New Mexico St.,2,13,54,0.568,116,77,9.5,-0.1,9.4,70.1,6.8,0,0,0,0,74.3,78.5,68,10.5,47.2,42.5,4.6,34.84680851,31.9,66.7,40.3,31.6,8.7,14,14.7,0.95,-0.1,4.2,6.8,17.6,16
2012,Norfolk St.,3,15,62,0.5217,308,130,0.4,-0.5,-0.1,47.8,-0.7,0,0,0,0,73.5,69,66.1,2.9,44.3,40.5,5.4,31.1,30.3,65.3,36.4,34.4,2,12,15.3,0.78,-1.1,4.8,6.9,19.4,12
2012,North Carolina,5,1,3,0.6519,7,1,15.6,2.4,18,88.4,16.5,1620,1403,774,652,85.3,82,66.9,15.1,46.1,39.3,5.1,33.9,31.9,68.2,45.1,34.3,10.8,17.4,11.8,1.48,1.7,5.6,6.8,14.8,3
2012,North Carolina St.,4,11,42,0.575,21,43,7.7,0.7,8.4,73.7,8.3,0,0,0,0,64.7,73.4,68,5.4,46.3,41.8,5.4,35.5,33.8,70.8,37.2,32.9,4.2,16,12.8,1.25,-0.3,4.1,6.9,17,15
2012,Notre Dame,2,7,25,0.5821,45,24,0.8,6.7,7.5,70.3,6.9,0,85,1,48,66.7,66.5,61.5,5,43.2,41.2,6.4,32.9,31,70.8,34,34.5,-0.4,14.5,10,1.44,0.8,3.4,5.2,13.8,9
2012,Ohio,4,13,52,0.5744,184,64,3,4.1,7,68.3,6.2,0,0,0,0,79.4,70.7,62.4,8.3,42.9,41.2,7.4,33.8,29.6,68.1,34.8,34.6,0.1,13.2,13.3,0.99,4.4,2.9,9.4,19.7,12
2012,Ohio St.,6,2,7,0.6336,11,6,9.9,9,18.8,88.6,16.5,1482,1229,702,578,79.4,74.8,59.1,15.7,48.3,40.6,4.9,34.84680851,32.2,69.8,36.9,29.5,7.4,15,11.6,1.29,3.4,3,7.2,16.1,3
2012,Purdue,3,10,37,0.5759,33,23,6.6,2.3,8.9,73.8,8.3,10,0,17,0,63.6,72.2,66,6.2,44.1,44.6,8.2,37.7,35.6,65.2,33,33.6,-0.6,13.7,8.7,1.58,4.1,3.2,6.5,17.8,8
